Form Name,Form Created,Form Submitted,County,GPS Latitude,GPS Longitude,GPS Accuracy,Kenya Questionnaire,Kenya Multi Sector Mapping Project,In What Year Did This Establishment Begin Operations?,Is the Outlet Regulated?,If Yes by who?,What Services are Offered at this Establishment: Member Recruitment,What Services are Offered at this Establishment: Cash-In,What Services are Offered at this Establishment: Cash-Out,What Services are Offered at this Establishment: Account Opening,Type of SACCO Products Offered: Savings Products,Type of SACCO Products Offered: Loan Products,Type of SACCO Products Offered: Remittance,Type of SACCO Products Offered: Insurance Products,Have You Ever Experienced Cases of Fraud?,"If Experienced Cases of Fraud, Please Specify"
SACCO,2015/03/12 09:30:37 AM,2015/03/12 10:28:34 AM,NAIROBI,-1.28711,36.83732,7,Financial,Savings and Credit Co-operative (SACCO),2004/01/02,Yes,SASRA,Yes,No,No,No,Yes,Yes,Yes,No,No,
SACCO,2015/03/12 10:45:26 AM,2015/03/12 10:57:20 AM,UASIN GISHU,0.51475,35.27517,4,Financial,Savings and Credit Co-operative (SACCO),2013/01/10,Yes,SASRA,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,
SACCO,2015/03/12 10:43:42 AM,2015/03/12 11:19:37 AM,NAIROBI,-1.28714,36.83736,8,Financial,Savings and Credit Co-operative (SACCO),2005/10/27,Yes,SASRA,Yes,Yes,Yes,No,Yes,Yes,Yes,No,No,
SACCO,2015/03/12 11:36:16 AM,2015/03/12 11:42:07 AM,MURANGA,-0.79031,37.13239,8,Financial,Savings and Credit Co-operative (SACCO),2008/01/01,Yes,SASRA,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Yes,Counterfeit Money
SACCO,2015/03/12 11:27:14 AM,2015/03/12 12:04:09 PM,NAIROBI,-1.28707,36.83738,7,Financial,Savings and Credit Co-operative (SACCO),1975/11/19,Yes,SASRA,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Forgery of Documents
SACCO,2015/03/12 12:03:50 PM,2015/03/12 12:11:05 PM,KILIFI,-3.21747,40.12451,14,Financial,Savings and Credit Co-operative (SACCO),1990/01/15,Yes,SASRA,Yes,No,Yes,Yes,Yes,No,Yes,No,No,
SACCO,2015/03/12 12:08:30 PM,2015/03/12 12:15:50 PM,NAIROBI,-1.2913,36.8414,5,Financial,Savings and Credit Co-operative (SACCO),1975/01/01,Yes,SASRA,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Yes,Counterfeit Money
SACCO,2015/03/12 12:23:47 PM,2015/03/12 12:35:39 PM,NAIROBI,-1.29185,36.84253,7,Financial,Savings and Credit Co-operative (SACCO),1980/06/20,Yes,SASRA,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Default
SACCO,2015/03/12 12:49:08 PM,2015/03/12 12:55:34 PM,MURANGA,-0.79187,37.13082,14,Financial,Savings and Credit Co-operative (SACCO),2007/06/30,Yes,SASRA,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,
SACCO,2015/03/12 02:08:30 PM,2015/03/12 02:18:00 PM,NAIROBI,-1.28546,36.84092,5,Financial,Savings and Credit Co-operative (SACCO),2008/08/12,Yes,SASRA,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Yes,Robbery
SACCO,2015/03/13 10:01:20 AM,2015/03/13 10:19:06 AM,NYERI,-0.48203,37.12539,5,Financial,Savings and Credit Co-operative (SACCO),2013/01/07,Yes,SASRA,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,No,
SACCO,2015/03/13 10:13:18 AM,2015/03/13 10:22:28 AM,MURANGA,-0.93678,37.12261,9,Financial,Savings and Credit Co-operative (SACCO),2013/07/02,Yes,Registrar of Companies,Yes,Yes,Yes,Yes,No,Yes,No,No,No,
SACCO,2015/03/13 10:47:52 AM,2015/03/13 10:53:14 AM,MURANGA,-0.93817,37.12549,7,Financial,Savings and Credit Co-operative (SACCO),2010/06/02,Yes,SASRA,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,
SACCO,2015/03/13 10:38:22 AM,2015/03/13 11:04:36 AM,BUNGOMA,0.56638,34.56152,4,Financial,Savings and Credit Co-operative (SACCO),2012/03/01,Yes,CBK,Yes,Yes,Yes,No,Yes,Yes,Yes,No,Yes,Cash embezzlement
SACCO,2015/03/13 11:34:50 AM,2015/03/13 12:00:33 PM,BUNGOMA,0.56392,34.55949,10,Financial,Savings and Credit Co-operative (SACCO),1957/09/15,Yes,SASRA,Yes,Yes,Yes,No,Yes,Yes,No,No,Yes,Robbery
SACCO,2015/03/13 12:06:33 PM,2015/03/13 12:54:12 PM,UASIN GISHU,0.51643,35.2735,13,Financial,Savings and Credit Co-operative (SACCO),2013/11/01,Yes,SASRA,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,
SACCO,2015/03/13 02:17:47 PM,2015/03/13 02:26:46 PM,NAIROBI,-1.28123,36.69375,15,Financial,Savings and Credit Co-operative (SACCO),2009/12/01,Yes,SASRA,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,
SACCO,2015/03/13 03:02:07 PM,2015/03/13 03:25:01 PM,NAIROBI,-1.31377,36.83615,7,Financial,Savings and Credit Co-operative (SACCO),1972/03/13,Yes,SASRA,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,
SACCO,2015/03/16 08:57:57 AM,2015/03/16 09:08:57 AM,NYERI,-0.48291,37.1254,6,Financial,Savings and Credit Co-operative (SACCO),2002/02/15,Yes,SASRA,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Robbery
SACCO,2015/03/16 09:41:35 AM,2015/03/16 09:47:50 AM,NAIROBI,-1.28711,36.75332,7,Financial,Savings and Credit Co-operative (SACCO),2014/01/14,Yes,SASRA,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,
SACCO,2015/03/12 08:00:11 AM,2015/03/16 10:18:22 AM,UASIN GISHU,0.51672,35.27734,7,Financial,Savings and Credit Co-operative (SACCO),1989/06/12,Yes,SASRA,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Direct Handset Fraud
SACCO,2015/03/16 10:25:55 AM,2015/03/16 10:37:41 AM,UASIN GISHU,0.51726,35.27812,6,Financial,Savings and Credit Co-operative (SACCO),2011/01/01,Yes,SASRA,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,
SACCO,2015/03/16 10:47:52 AM,2015/03/16 10:55:01 AM,NYERI,-0.42506,36.9544,6,Financial,Savings and Credit Co-operative (SACCO),2015/02/01,Yes,SASRA,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,
SACCO,2015/03/16 10:33:54 AM,2015/03/16 11:20:20 AM,UASIN GISHU,0.51632,35.27716,5,Financial,Savings and Credit Co-operative (SACCO),2015/01/05,Yes,SASRA,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,
SACCO,2015/03/16 11:32:08 AM,2015/03/16 01:02:54 PM,NYERI,-0.48249,37.12675,7,Financial,Savings and Credit Co-operative (SACCO),1992/04/16,Yes,SASRA,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,
SACCO,2015/03/16 02:17:44 PM,2015/03/16 02:28:13 PM,UASIN GISHU,0.51579,35.27728,5,Financial,Savings and Credit Co-operative (SACCO),2014/11/20,Yes,SASRA,Yes,Yes,Yes,No,Yes,Yes,No,No,No,
SACCO,2015/03/16 02:57:47 PM,2015/03/16 03:13:29 PM,NAIROBI,-1.26561,36.74919,6,Financial,Savings and Credit Co-operative (SACCO),2000/09/04,Yes,SASRA,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Un-Genuine Cheque
SACCO,2015/03/16 03:24:44 PM,2015/03/16 03:38:16 PM,UASIN GISHU,0.5175,35.27824,9,Financial,Savings and Credit Co-operative (SACCO),2015/01/01,Yes,SASRA,Yes,No,No,Yes,Yes,Yes,Yes,Yes,No,
SACCO,2015/03/17 08:28:12 AM,2015/03/17 08:45:04 AM,NAIROBI,-1.25588,36.86699,15,Financial,Savings and Credit Co-operative (SACCO),2013/09/11,Yes,SASRA,Yes,Yes,No,No,Yes,Yes,Yes,Yes,No,
SACCO,2015/03/17 09:03:33 AM,2015/03/17 09:16:49 AM,UASIN GISHU,0.51795,35.27844,4,Financial,Savings and Credit Co-operative (SACCO),2012/01/01,Yes,SASRA,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,
SACCO,2015/03/17 11:28:48 AM,2015/03/17 11:38:26 AM,MOMBASA,-3.9963,39.70602,8,Financial,Savings and Credit Co-operative (SACCO),2015/03/16,Yes,CBK,Yes,No,No,Yes,Yes,Yes,No,No,No,
SACCO,2015/03/17 11:42:33 AM,2015/03/17 11:48:44 AM,TAITA-TAVETA,-3.39456,38.56265,9,Financial,Savings and Credit Co-operative (SACCO),2007/01/16,Yes,AMFI,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,
SACCO,2015/03/17 11:46:51 AM,2015/03/17 11:53:58 AM,NAKURU,-0.2857,36.06518,7,Financial,Savings and Credit Co-operative (SACCO),2014/10/23,Yes,SASRA,Yes,No,No,Yes,Yes,Yes,No,No,No,
SACCO,2015/03/17 11:56:26 AM,2015/03/17 12:25:41 PM,NAIROBI,-1.25841,36.9228,14,Financial,Savings and Credit Co-operative (SACCO),2015/03/10,Yes,SASRA,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,
SACCO,2015/03/17 12:39:53 PM,2015/03/17 12:56:28 PM,UASIN GISHU,0.5163,35.2773,13,Financial,Savings and Credit Co-operative (SACCO),1996/07/13,Yes,SASRA,Yes,No,Yes,No,Yes,Yes,Yes,No,Yes,Direct Handset Fraud
SACCO,2015/03/17 03:06:47 PM,2015/03/17 03:16:53 PM,UASIN GISHU,0.51969,35.27672,8,Financial,Savings and Credit Co-operative (SACCO),2013/01/01,Yes,SASRA,Yes,Yes,No,Yes,Yes,Yes,No,No,No,
SACCO,2015/03/18 09:21:54 AM,2015/03/18 09:31:53 AM,UASIN GISHU,0.5177,35.27604,6,Financial,Savings and Credit Co-operative (SACCO),2011/09/20,Yes,SASRA,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Robbery
SACCO,2015/03/18 11:38:02 AM,2015/03/18 11:49:39 AM,TURKANA,3.12012,35.59453,10,Financial,Savings and Credit Co-operative (SACCO),2009/03/13,Yes,SASRA,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,
SACCO,2015/03/18 01:08:34 PM,2015/03/18 01:49:22 PM,MERU,0.1623,37.74821,7,Financial,Savings and Credit Co-operative (SACCO),1997/01/01,Yes,SASRA,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,
SACCO,2015/03/19 09:19:26 AM,2015/03/19 09:41:31 AM,UASIN GISHU,0.51346,35.28058,5,Financial,Savings and Credit Co-operative (SACCO),2002/02/13,Yes,SASRA,Yes,No,No,No,Yes,Yes,No,Yes,No,
SACCO,2015/03/19 11:48:45 AM,2015/03/19 12:05:53 PM,UASIN GISHU,0.52103,35.27545,11,Financial,Savings and Credit Co-operative (SACCO),2011/07/01,Yes,SASRA,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Counterfeit Money
SACCO,2015/03/19 12:24:19 PM,2015/03/19 12:44:55 PM,MURANGA,-0.72115,37.15761,9,Financial,Savings and Credit Co-operative (SACCO),1997/01/01,Yes,SASRA,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Direct Handset Fraud
SACCO,2015/03/20 08:57:56 AM,2015/03/20 09:16:32 AM,MOMBASA,-4.0398,39.65821,6,Financial,Savings and Credit Co-operative (SACCO),2004/03/13,Yes,SASRA,Yes,Yes,No,No,Yes,Yes,No,No,No,
SACCO,2015/03/20 09:19:23 AM,2015/03/20 09:29:54 AM,NAIROBI,-1.26623,36.74827,8,Financial,Savings and Credit Co-operative (SACCO),2006/06/09,Yes,SASRA,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Robbery
SACCO,2015/03/20 09:34:10 AM,2015/03/20 09:42:05 AM,WEST POKOT,1.25644,35.09217,10,Financial,Savings and Credit Co-operative (SACCO),1977/06/21,Yes,SASRA,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,
SACCO,2015/03/20 09:18:12 AM,2015/03/20 09:43:32 AM,KILIFI,-3.62962,39.85126,10,Financial,Savings and Credit Co-operative (SACCO),2015/01/20,Yes,SASRA,Yes,No,No,No,Yes,Yes,Yes,Yes,No,
SACCO,2015/03/20 09:32:25 AM,2015/03/20 09:45:31 AM,NAIROBI,-1.29975,36.8062,9,Financial,Savings and Credit Co-operative (SACCO),1975/02/14,Yes,SASRA,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,
SACCO,2015/03/20 09:57:09 AM,2015/03/20 10:18:40 AM,UASIN GISHU,0.51944,35.27465,5,Financial,Savings and Credit Co-operative (SACCO),2007/01/01,Yes,SASRA,Yes,No,No,Yes,Yes,Yes,Yes,No,No,
SACCO,2015/03/10 01:16:40 PM,2015/03/20 10:20:29 AM,MURANGA,-0.80233,36.96257,13,Financial,Savings and Credit Co-operative (SACCO),2006/01/01,Yes,SASRA,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Counterfeit Money
SACCO,2015/03/20 11:34:07 AM,2015/03/20 11:42:11 AM,NYERI,-0.35992,37.00015,13,Financial,Savings and Credit Co-operative (SACCO),2006/05/19,Yes,SASRA,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,
SACCO,2015/03/20 01:08:21 PM,2015/03/20 01:18:57 PM,NYERI,-0.36094,37.00001,7,Financial,Savings and Credit Co-operative (SACCO),2008/02/18,Yes,SASRA,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,
SACCO,2015/03/20 02:38:31 PM,2015/03/20 02:51:23 PM,KWALE,-4.13788,39.31814,8,Financial,Savings and Credit Co-operative (SACCO),2012/01/19,Yes,SASRA,No,Yes,Yes,Yes,Yes,No,Yes,No,No,
SACCO,2015/03/20 03:51:44 PM,2015/03/20 04:16:05 PM,MURANGA,-0.72073,37.15895,13,Financial,Savings and Credit Co-operative (SACCO),1997/03/09,Yes,SASRA,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,A Customer's Bouncing Cheque
SACCO,2015/03/20 04:07:58 PM,2015/03/20 04:20:19 PM,MOMBASA,-4.06006,39.6586,6,Financial,Savings and Credit Co-operative (SACCO),1965/09/19,Yes,SASRA,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Direct Handset Fraud
SACCO,2015/03/23 08:30:08 AM,2015/03/23 09:03:36 AM,MURANGA,-0.79692,37.1297,8,Financial,Savings and Credit Co-operative (SACCO),1997/01/01,Yes,SASRA,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Counterfeit Money
SACCO,2015/03/23 09:13:06 AM,2015/03/23 09:50:39 AM,MURANGA,-0.78281,36.87638,6,Financial,Savings and Credit Co-operative (SACCO),2010/02/15,Yes,SASRA,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Counterfeit Money
SACCO,2015/03/23 11:06:16 AM,2015/03/23 11:12:51 AM,UASIN GISHU,0.5361,35.2626,14,Financial,Savings and Credit Co-operative (SACCO),2012/11/19,Yes,SASRA,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,
SACCO,2015/03/23 12:46:51 PM,2015/03/23 12:50:14 PM,NAIROBI,-1.20757,36.91747,8,Financial,Savings and Credit Co-operative (SACCO),2014/06/20,Yes,CBK,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,
SACCO,2015/03/23 12:28:58 PM,2015/03/23 01:00:13 PM,NYERI,-0.42129,36.94957,11,Financial,Savings and Credit Co-operative (SACCO),2015/02/01,Yes,SASRA,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,
SACCO,2015/03/24 12:19:03 PM,2015/03/24 12:27:10 PM,MURANGA,-0.65199,37.02142,6,Financial,Savings and Credit Co-operative (SACCO),2009/01/01,Yes,CBK,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Counterfeit Money
SACCO,2015/03/24 02:49:04 PM,2015/03/24 03:06:27 PM,MOMBASA,-4.07289,39.66783,5,Financial,Savings and Credit Co-operative (SACCO),1968/03/18,Yes,SASRA,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Fake Pay slips
SACCO,2015/03/26 11:12:38 AM,2015/03/26 11:19:06 AM,MERU,-0.03918,37.6603,8,Financial,Savings and Credit Co-operative (SACCO),2009/05/23,Yes,SASRA,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,
SACCO,2015/03/26 12:04:13 PM,2015/03/26 12:25:47 PM,KILIFI,-3.30843,40.01189,13,Financial,Savings and Credit Co-operative (SACCO),2014/11/04,Yes,SASRA,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,
SACCO,2015/03/24 12:58:54 PM,2015/03/26 01:20:37 PM,MURANGA,-0.89697,37.00301,13,Financial,Savings and Credit Co-operative (SACCO),1997/01/01,Yes,SASRA,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,No,
SACCO,2015/03/26 03:23:02 PM,2015/03/26 03:36:43 PM,NAIROBI,-1.27864,36.90754,6,Financial,Savings and Credit Co-operative (SACCO),2005/02/26,Yes,SASRA,Yes,Yes,Yes,Yes,No,Yes,Yes,No,No,
SACCO,2015/03/26 02:27:10 PM,2015/03/26 03:59:09 PM,NYERI,-0.38601,37.08312,10,Financial,Savings and Credit Co-operative (SACCO),2011/04/24,Yes,SASRA,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Robbery
SACCO,2015/03/27 08:58:22 AM,2015/03/27 09:08:33 AM,MOMBASA,-4.06068,39.66726,5,Financial,Savings and Credit Co-operative (SACCO),1993/07/21,Yes,SASRA,Yes,Yes,Yes,No,Yes,Yes,No,Yes,Yes,Robbery
SACCO,2015/03/27 09:23:07 AM,2015/03/27 09:31:04 AM,BUSIA,0.36529,34.16577,5,Financial,Savings and Credit Co-operative (SACCO),2014/06/01,Yes,SASRA,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,
SACCO,2015/03/27 10:19:58 AM,2015/03/27 10:27:08 AM,BUSIA,0.36298,34.16781,5,Financial,Savings and Credit Co-operative (SACCO),2014/06/04,Yes,SASRA,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,
SACCO,2015/03/27 10:30:29 AM,2015/03/27 10:35:37 AM,BUSIA,0.36241,34.16825,5,Financial,Savings and Credit Co-operative (SACCO),2012/07/01,Yes,SASRA,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,No,
SACCO,2015/03/27 11:10:39 AM,2015/03/27 11:17:28 AM,BUSIA,0.36394,34.16701,5,Financial,Savings and Credit Co-operative (SACCO),2012/09/17,Yes,SASRA,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,No,
SACCO,2015/03/26 12:48:23 PM,2015/03/27 11:45:39 AM,UASIN GISHU,0.53409,35.24297,16,Financial,Savings and Credit Co-operative (SACCO),2013/06/30,Yes,SASRA,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,
SACCO,2015/03/27 11:46:54 AM,2015/03/27 11:55:50 AM,MURANGA,-0.82144,37.04151,13,Financial,Savings and Credit Co-operative (SACCO),2013/01/01,Yes,CBK,Yes,No,No,Yes,No,No,No,No,No,
SACCO,2015/03/27 12:36:28 PM,2015/03/27 12:44:57 PM,NAKURU,-0.3275,35.94212,5,Financial,Savings and Credit Co-operative (SACCO),2014/03/01,Yes,SASRA,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,
SACCO,2015/03/27 12:40:53 PM,2015/03/27 01:45:10 PM,NYERI,-0.48021,37.12548,14,Financial,Savings and Credit Co-operative (SACCO),2008/01/01,Yes,SASRA,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,
SACCO,2015/03/27 02:25:00 PM,2015/03/27 02:48:49 PM,BUSIA,0.41452,34.14701,5,Financial,Savings and Credit Co-operative (SACCO),2012/10/07,Yes,SASRA,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,No,
SACCO,2015/03/27 03:35:44 PM,2015/03/27 03:42:13 PM,NYERI,-0.48118,37.12649,5,Financial,Savings and Credit Co-operative (SACCO),1990/05/30,Yes,SASRA,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,
SACCO,2015/03/27 03:53:19 PM,2015/03/27 04:16:22 PM,BUSIA,0.46476,34.10049,5,Financial,Savings and Credit Co-operative (SACCO),2013/07/30,Yes,CBK,Yes,Yes,No,No,Yes,No,No,No,No,
SACCO,2015/03/30 09:00:30 AM,2015/03/30 09:34:31 AM,KISUMU,-0.09925,34.76262,14,Financial,Savings and Credit Co-operative (SACCO),2012/04/13,Yes,SASRA,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,
SACCO,2015/03/30 09:33:43 AM,2015/03/30 09:41:46 AM,NYERI,-0.56092,37.04598,5,Financial,Savings and Credit Co-operative (SACCO),2004/09/01,Yes,SASRA,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,
SACCO,2015/03/30 09:41:58 AM,2015/03/30 09:50:56 AM,KILIFI,-3.30394,40.01195,6,Financial,Savings and Credit Co-operative (SACCO),2005/05/01,Yes,SASRA,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,
SACCO,2015/03/30 11:43:09 AM,2015/03/30 11:51:29 AM,KILIFI,-3.20735,40.11659,11,Financial,Savings and Credit Co-operative (SACCO),2015/02/02,Yes,SASRA,Yes,Yes,Yes,No,Yes,Yes,No,No,No,
SACCO,2015/03/30 12:36:25 PM,2015/03/30 12:47:01 PM,BUSIA,0.3029,34.20417,5,Financial,Savings and Credit Co-operative (SACCO),2006/01/01,Yes,SASRA,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Yes,Robbery
