County,GPS Latitude,GPS Longitude
HOMA BAY,-0.5051,34.33066
KAJIADO,-2.92612,37.50832
NANDI,0.20094,35.0996
MIGORI,-1.23266,34.48335
TRANS NZOIA,1.01577,34.99137
MAKUENI,-1.78156,37.6282
MIGORI,-1.1944,34.6184
NAROK,-1.08645,35.04107
SIAYA,-0.10059,34.27333
HOMA BAY,-0.52431,34.25902
HOMA BAY,-0.55198,34.25102
KAJIADO,-2.92591,37.51007
MAKUENI,-1.7819,37.62454
MAKUENI,-1.47742,36.96053
KAJIADO,-2.927,37.5112
HOMA BAY,-0.5378,34.16644
MIGORI,-1.19848,34.55744
HOMA BAY,-0.62105,34.25438
HOMA BAY,-0.76965,34.09815
NAROK,-1.00657,34.88025
MAKUENI,-1.52024,37.26941
MAKUENI,-1.51958,37.26971
MAKUENI,-2.07977,37.47433
NANDI,0.29785,35.04581
MAKUENI,-1.82076,37.78545
NANDI,0.10453,35.18575
NAROK,-1.23038,34.80759
MAKUENI,-2.04641,37.57616
MAKUENI,-1.77927,37.62724
MAKUENI,-1.78006,37.6277
MAKUENI,-1.78013,37.62741
KAJIADO,-2.79876,37.53814
NANDI,0.25533,35.02953
KAJIADO,-3.04823,37.69615
MAKUENI,-2.07954,37.47083
HOMA BAY,-0.79282,34.31657
MAKUENI,-2.07968,37.47073
WEST POKOT,1.30567,35.20373
WEST POKOT,1.30498,35.20341
NYAMIRA,-0.70998,34.99104
UASIN GISHU,0.51661,35.27717
NAIROBI,-1.28639,36.82065
NYAMIRA,-0.48353,35.02237
NYAMIRA,-0.4814,34.97301
NYAMIRA,-0.48172,34.97213
NAIROBI,-1.29601,36.88678
KILIFI,-3.21152,40.1178
NAIROBI,-1.26588,36.74902
KWALE,-4.44713,39.31079
NAIROBI,-1.27254,36.81314
NAIROBI,-1.26737,36.81018
NAIROBI,-1.26921,36.80981
NAIROBI,-1.24597,36.90595
NAIROBI,-1.24606,36.90602
KIAMBU,-1.17261,36.75846
NAIROBI,-1.28961,36.82822
NAIROBI,-1.28872,36.74341
NAIROBI,-1.28838,36.74188
NAIROBI,-1.29407,36.78788
KIAMBU,-1.24511,36.663
NAIROBI,-1.28306,36.8795
NAIROBI,-1.26677,36.74886
NAIROBI,-1.26658,36.75171
NAIROBI,-1.20547,36.91764
MACHAKOS,-1.51865,37.26924
MACHAKOS,-1.51914,37.26551
KIAMBU,-1.1477,36.96129
KIAMBU,-1.14774,36.96124
NAKURU,-0.71672,36.43416
KIAMBU,-1.03492,37.07415
KIAMBU,-1.03482,37.0744
KIAMBU,-1.03435,37.07491
KIAMBU,-1.03681,37.07493
KIAMBU,-1.03654,37.07444
NAKURU,-0.28359,36.07413
NAKURU,-0.71639,36.43247
TRANS NZOIA,1.0131,35.00264
KIAMBU,-1.14785,36.95907
KIAMBU,-1.05676,36.77854
TRANS NZOIA,1.01447,35.00491
KAJIADO,-1.35983,36.65613
NAIROBI,-1.28268,36.81809
NAIROBI,-1.28214,36.81911
TANA RIVER,-0.47329,39.60488
NAIROBI,-1.28061,36.8183
NAIROBI,-1.28583,36.73905
NAIROBI,-1.29607,36.88656
NAIROBI,-1.29596,36.88647
NAIROBI,-1.2843,36.82481
NAKURU,-0.2843,36.07224
NAKURU,-0.28362,36.07386
MOMBASA,-4.06143,39.66472
KIAMBU,-1.04222,37.07084
TRANS NZOIA,1.01337,35.00295
NAIROBI,-1.29461,36.78745
NAIROBI,-1.28526,36.73834
KIAMBU,-1.17118,36.82206
HOMA BAY,-0.47262,34.06785
NAIROBI,-1.25925,36.87923
NAIROBI,-1.25927,36.87912
NAIROBI,-1.25929,36.87925
NAIROBI,-1.27701,36.90845
NAIROBI,-1.29037,36.78563
NAIROBI,-1.21864,36.89598
NAIROBI,-1.28993,36.7653
NAIROBI,-1.29044,36.78573
WEST POKOT,1.25929,35.09475
WEST POKOT,1.25927,35.09471
LAIKIPIA,0.03831,36.36479
NAIROBI,-1.2994,36.75977
NAIROBI,-1.31401,36.8277
NAKURU,-0.28423,36.07252
NAIROBI,-1.28824,36.82061
NYANDARUA,-0.26973,36.3742
LAIKIPIA,0.03446,36.36381
NAKURU,-0.24801,35.73197
NAIROBI,-1.29868,36.79958
NAIROBI,-1.28467,36.7377
NAKURU,-0.42655,35.692
